YEAR,STATE,BENE_GEO_CD,BENES_MA_CNT,BENE_AVG_AGE,BENE_FEML_PCT,BENE_MALE_PCT,BENE_DUAL_PCT,BENES_OP_CNT,BENES_OP_PCT,OP_VISITS_PER_1000_BENES,BENES_ER_VISITS_CNT,BENES_ER_VISITS_PCT,ER_VISITS_PER_1000_BENES
2017,MI,26.0,718043,73,0.5531,0.4469,0.1046,549802,0.7657,4983.4495,202868,0.2825,282.529
2017,MN,27.0,558011,74,0.562,0.438,0.0944,101864,0.1825,1231.9166,47524,0.0852,85.1668
2017,MO,29.0,376922,73,0.566,0.434,0.1275,268010,0.711,4185.7758,150926,0.4004,400.4171
2017,MS,28.0,94926,70,0.5596,0.4404,0.3077,66343,0.6989,4096.2223,44329,0.467,466.9848
2017,MT,30.0,44259,73,0.5413,0.4587,0.0732,36098,0.8156,6547.9789,9751,0.2203,220.3168
2017,NC,37.0,603414,72,0.5804,0.4196,0.1269,397135,0.6581,3618.1047,196144,0.3251,325.0571
2017,ND,38.0,22239,75,0.5483,0.4517,0.0617,2253,0.1013,1031.5662,960,0.0432,43.1674
2017,NE,31.0,42893,73,0.5571,0.4429,0.1143,26493,0.6177,3841.839,14084,0.3284,328.3519
2017,NH,33.0,29808,72,0.5537,0.4463,0.0734,25086,0.8416,6843.1629,10109,0.3391,339.1371
2017,NJ,34.0,326695,73,0.5597,0.4403,0.1278,175344,0.5367,2702.2881,133230,0.4078,407.8116
2017,NM,35.0,131927,72,0.5632,0.4368,0.2661,77186,0.5851,3415.8057,44058,0.334,333.9574
2017,NV,32.0,171989,73,0.5563,0.4437,0.1188,66729,0.388,1553.4075,55671,0.3237,323.6893
2017,NY,36.0,1329076,73,0.5787,0.4213,0.2912,805359,0.606,4012.2378,516391,0.3885,388.5338
2017,National,,19575710,73,0.5647,0.4353,0.1898,11581854,0.5916,3288.0033,7013272,0.3583,358.264
2017,OH,39.0,857294,73,0.5785,0.4215,0.1625,656434,0.7657,5451.3411,393938,0.4595,459.5133
2017,OK,40.0,127399,73,0.5618,0.4382,0.1229,87600,0.6876,3563.9683,52336,0.4108,410.8039
2017,OR,41.0,360881,73,0.5683,0.4317,0.1582,228430,0.633,3587.8974,118210,0.3276,327.5595
2017,PA,42.0,1081038,74,0.5703,0.4297,0.1843,853017,0.7891,5106.1489,459839,0.4254,425.368
2017,PR,72.0,563836,71,0.5422,0.4578,,261358,0.4635,1324.9438,293469,0.5205,520.4865
2017,RI,44.0,87500,73,0.5896,0.4104,0.2306,62087,0.7096,4169.68,37061,0.4236,423.5543
2017,SC,45.0,254817,71,0.5743,0.4257,0.2652,175371,0.6882,3488.8371,112106,0.4399,439.9471
2017,SD,46.0,34303,75,0.5519,0.4481,0.0644,6476,0.1888,1549.8936,1978,0.0577,57.6626
2017,TN,47.0,471851,70,0.5622,0.4378,0.2867,312922,0.6632,3338.8888,210549,0.4462,446.2193
2017,TX,48.0,1339190,72,0.5648,0.4352,0.2297,758130,0.5661,2902.5486,517750,0.3866,386.6143
2017,UT,49.0,131016,72,0.5503,0.4497,0.1169,87053,0.6644,3482.5899,33165,0.2531,253.137
2017,VA,51.0,271760,71,0.5653,0.4347,0.1915,163429,0.6014,3081.3512,110617,0.407,407.0393
2017,VI,78.0,232,73,0.5517,0.4483,,94,0.4052,1715.5172,88,0.3793,379.3103
2017,VT,50.0,12592,73,0.5403,0.4597,0.0905,10618,0.8432,5728.8755,3751,0.2979,297.8875
2017,WA,53.0,389274,72,0.5624,0.4376,0.1471,207119,0.5321,2826.459,111210,0.2857,285.6857
2017,WI,55.0,444846,74,0.5561,0.4439,0.1063,286506,0.6441,4439.0126,129599,0.2913,291.3345
2017,WV,54.0,123769,73,0.546,0.454,0.0913,88007,0.7111,5267.87,44438,0.359,359.0398
2017,WY,56.0,3836,74,0.5253,0.4747,0.1038,2239,0.5837,3289.1032,1233,0.3214,321.4286
2018,AK,2.0,1346,74,0.5074,0.4926,0.0951,764,0.5676,3132.9866,466,0.3462,346.211
2018,AL,1.0,401245,70,0.5705,0.4295,0.2285,263154,0.6558,2978.9879,151441,0.3774,377.4278
2018,AR,5.0,146344,69,0.5591,0.4409,0.302,100838,0.689,3953.5273,67639,0.4622,462.1918
2018,AZ,4.0,493476,72,0.5628,0.4372,0.2771,230395,0.4669,1960.1237,166556,0.3375,337.5159
2018,CA,6.0,2583757,74,0.5628,0.4372,0.1911,1267389,0.4905,1974.0185,768678,0.2975,297.504
2018,CO,8.0,330817,73,0.5609,0.4391,0.1283,153635,0.4644,2123.6091,92456,0.2795,279.4778
2018,CT,9.0,236533,74,0.5693,0.4307,0.3087,160804,0.6798,4221.2123,95988,0.4058,405.8123
2018,DC,11.0,15075,72,0.6147,0.3853,0.5295,6446,0.4276,3073.4328,7247,0.4807,480.7297
2018,DE,10.0,27124,72,0.5547,0.4453,0.1998,17900,0.6599,3804.7117,11676,0.4305,430.4675
2018,FL,12.0,1928864,72,0.554,0.446,0.2523,829138,0.4299,1804.6358,683058,0.3541,354.1245
2018,GA,13.0,621901,71,0.5861,0.4139,0.2451,406563,0.6537,3349.2051,260565,0.419,418.9815
2018,HI,15.0,120526,75,0.5691,0.4309,0.2241,80982,0.6719,3480.693,37023,0.3072,307.1785
2018,IA,19.0,119687,74,0.5478,0.4522,0.1312,76366,0.638,4607.6182,35292,0.2949,294.8691
2018,ID,16.0,102685,73,0.5525,0.4475,0.1217,82444,0.8029,6760.1987,27637,0.2691,269.1435
2018,IL,17.0,541258,73,0.5678,0.4322,0.1576,374320,0.6916,4606.3485,206574,0.3817,381.6553
2018,IN,18.0,360905,73,0.554,0.446,0.1348,274160,0.7596,5018.3123,132073,0.3659,365.9495
2018,KS,20.0,87557,73,0.5563,0.4437,0.1439,52809,0.6031,3647.5096,32712,0.3736,373.608
2018,KY,21.0,277215,71,0.5635,0.4365,0.1175,199325,0.719,4297.9024,100189,0.3614,361.4126
2018,LA,22.0,297241,71,0.5551,0.4449,0.2606,227252,0.7645,5071.8508,132794,0.4468,446.7553
2018,MA,25.0,299817,74,0.5799,0.4201,0.2695,231893,0.7734,6203.9711,131245,0.4378,437.7504
2018,MD,24.0,119816,73,0.5846,0.4154,0.1641,37897,0.3163,1847.2408,37430,0.3124,312.3957
2018,ME,23.0,103897,72,0.5367,0.4633,0.1832,89848,0.8648,8513.6048,30948,0.2979,297.8719
2018,MI,26.0,810213,73,0.5476,0.4524,0.106,626333,0.773,5497.2902,291515,0.3598,359.8004
2018,MN,27.0,582196,74,0.561,0.439,0.0948,103328,0.1775,1165.13,49976,0.0858,85.8405
